chunk_id,source_doc_title,chunk_text
1_c0,Что такое Docker,"Docker — это платформа для разработки, доставки и запуска приложений в контейнерах. Контейнеры изолируют приложения от хост-системы, обеспечивая воспроизводимость окружения. Docker использует образы (images) для создания контейнеров."
2_c0,Основные команды Docker,"docker run запускает контейнер из образа. docker ps показывает запущенные контейнеры. docker images выводит список загруженных образов. docker stop останавливает контейнер, а docker rm удаляет его."
3_c0,Dockerfile,"Dockerfile — это текстовый файл с инструкциями по сборке образа. Команда FROM задаёт базовый образ, RUN выполняет команды в процессе сборки, COPY копирует файлы в образ, а CMD определяет команду по умолчанию при запуске контейнера."
4_c0,Сети в Docker,По умолчанию контейнеры подключаются к мостовой сети (bridge). Для изоляции или межконтейнерного взаимодействия создают пользовательские сети командой docker network create. Контейнеры в одной сети видят друг друга по именам.
5_c0,Тома (Volumes),Тома используются для хранения данных вне файловой системы контейнера. Они сохраняются после удаления контейнера. Управляются через docker volume create и монтируются флагом -v.
6_c0,Docker Compose,"Docker Compose — инструмент для запуска мультиконтейнерных приложений. Конфигурация описывается в файле docker-compose.yml формата YAML. Позволяет запускать, останавливать и управлять связанными контейнерами одной командой docker compose up."
7_c0,Реестры образов,"Реестр (registry) — хранилище Docker-образов. Docker Hub является публичным реестром по умолчанию. Команда docker push загружает образ, а docker pull скачивает его. Можно развернуть приватный реестр."
8_c0,Жизненный цикл контейнера,Контейнер проходит состояния: created → running → paused → stopped. Команда docker start возобновляет остановленный контейнер без пересборки. Команда docker exec позволяет выполнить команду в работающем контейнере.
9_c0,Ограничение ресурсов,Docker позволяет ограничивать CPU и память контейнеров. Флаги --memory и --cpus задают жёсткие лимиты. Это предотвращает захват ресурсов одним контейнером и повышает стабильность хоста.
10_c0,Безопасность контейнеров,"Контейнеры не являются полной изоляцией. Рекомендуется запускать процессы от непривилегированного пользователя, использовать Read-Only файловую систему (--read-only) и регулярно обновлять базовые образы."
